location_id,sensor_name,sensor_description,installation_date,year_installed,sensor_age_years,status,status_label,is_active,location_type,direction_1,direction_2,directions,latitude,longitude,in_cbd,note,has_note
118,Fli114C_T,114 Flinders Street Car Park Crossing,2022-12-06,2022.0,3.6605065023956196,A,Active,True,Outdoor,North,South,North / South,-37.81632783,144.97090512,True,,False
131,King2_T,I-Hub Corner of King Street and Flinders Street (2-6 King),2023-09-25,2023.0,2.858316221765914,A,Active,True,Outdoor,North,South,North / South,-37.82009057,144.95758725,True,,False
143,Spencer_T,"Mounted on Toilet - Spencer Street, Batman Park",2024-04-10,2024.0,2.316221765913758,A,Active,True,Outdoor,North,South,North / South,-37.821728,144.95557015,True,,False
144,narrLibL1L1_T,narrm ngarrgu Library - Level 1 - Lift 1,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80760657,144.95862847,True,,False
145,narrLibL1L2_T,narrm ngarrgu Library - Level 1 - Lift 2,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80763871,144.95850722,True,,False
147,narrLibMRL1_T,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80769805,144.95832131,True,,False
152,narrLibL2S1_T,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80776728,144.95843977,True,,False
159,Eli516_T,516 Elizeberth Street,2024-01-29,2024.0,2.513347022587269,A,Active,True,Indoor,,,,-37.80651646,144.96007934,True,,False
162,Eli489_T,iHub 489 Elizabeth Street,2024-07-01,2024.0,2.0917180013689256,A,Active,True,Outdoor,North,South,North / South,-37.80740397,144.95987909,True,,False
179,Pow61_T,61-67 Power Street Southbank,2024-12-19,2024.0,1.623545516769336,A,Active,True,Outdoor,North,South,North / South,-37.82392385,144.96299677,True,,False
182,King163_T,163 King Street,2025-04-11,2025.0,1.3141683778234086,A,Active,True,Outdoor,North,South,North / South,-37.81627451,144.95550503,True,,False
184,Eli124_T,124 Elizabeth Street,2025-06-28,2025.0,1.1006160164271048,A,Active,True,Outdoor,North,South,North / South,-37.81512416,144.96371988,True,,False
187,Swa330_T,RMIT Building 22 - 330 Swanston Street,2025-10-18,2025.0,0.7939767282683093,A,Active,True,Outdoor,East,West,East / West,-37.80942561,144.96395473,True,,False
