feature_name,theme,sub_theme,broad_category,is_sensory_refuge,in_cbd,latitude,longitude
Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,Other,False,False,-37.8165177307702,144.943475014215
NGV International,Community Use,Public Buildings,Other,True,True,-37.8230135000869,144.969342535451
Macaulay Railway Station (North Melbourne) - Train stop,Transport,Railway Station,Transport,False,False,-37.794964001386,144.936190756632
Kensington Railway Station,Transport,Railway Station,Transport,False,False,-37.7939140126373,144.930710207518
Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8306631583233,144.980850432751
Coronial Services Centre of Victoria,Office,Office,Retail / Commercial,False,True,-37.8243437355246,144.96447462898
Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.81299206932,144.989062559512
Melbourne Wholesale Fish Market,Warehouse/Store,Store Yard,Other,False,False,-37.8083471006041,144.930613255612
The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.7973939595503,144.964156669702
University of Melbourne,Education Centre,Tertiary (University),Education,True,False,-37.7982892284927,144.96099520158
QV Village,Mixed Use,Retail/Office/Residential/Carpark,Parks & Open Space,False,True,-37.8106891897454,144.965714574014
Parliament Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.809852620638,144.973462202839
North Melbourne Football Club,Office,Office,Retail / Commercial,False,False,-37.799771364073,144.940963510723
North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,Parks & Open Space,True,False,-37.7997051197931,144.940368286395
Conservatory,Community Use,Public Buildings,Other,True,True,-37.814002127195,144.9785597431
Freshwater Place,Mixed Use,Retail/Office/Residential/Carpark,Parks & Open Space,False,True,-37.8219745489446,144.96246144843
Metropolitan Fire Brigade (MFB),Community Use,Fire Station,Transport,True,True,-37.8092318636838,144.975247619376
Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8133854259085,144.954027907736
RMIT University,Education Centre,Tertiary (University),Education,True,True,-37.8080795360545,144.964452974798
Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7983318676737,144.971514146104
North Melbourne Railway Station,Transport,Railway Station,Transport,False,False,-37.8073823625058,144.942429848025
Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8144604899837,144.979471339826
Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.80460262432,144.971521914952
Melbourne Childrens Court,Community Use,Public Buildings,Other,True,True,-37.8125077646598,144.958298873269
Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,Parks & Open Space,True,True,-37.8216187583314,144.964622218598
County Court Melbourne,Community Use,Public Buildings,Other,True,True,-37.8132011619962,144.957734246387
Epworth Freemasons Hospital,Health Services,Private Hospital,Health Services,True,False,-37.8109710654051,144.98370007659
Church of Christ,Place of Worship,Church,Places of Worship,True,True,-37.8104524079085,144.96388920294
Holy Trinity,Place of Worship,Church,Places of Worship,True,False,-37.8140667110854,144.983197322289
Holy Rosary,Place of Worship,Church,Places of Worship,True,False,-37.7948087414394,144.928362125005
Victoria Police,Community Use,Police Station,Transport,True,False,-37.8219773910249,144.953398014034
Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8077644149636,144.965463853978
Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,Other,False,False,-37.8252455123297,144.95435243249
MTC Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8242661832902,144.968174400274
Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8320733992876,144.973628364465
Icehouse,Leisure/Recreation,Indoor Recreation Facility,Parks & Open Space,True,False,-37.8121881194053,144.935684018873
Parliament Railway Station,Transport,Railway Station,Transport,False,True,-37.8127621113552,144.973433796529
Flemington Racecourse Railway Station,Transport,Railway Station,Transport,False,False,-37.7869105822519,144.908190706069
Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,Parks & Open Space,True,False,-37.7934377042609,144.971696548624
Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,Other,False,False,-37.8097374138234,144.981383411592
St James Church,Place of Worship,Church,Places of Worship,True,False,-37.8101281201969,144.952468571683
St Michael's Uniting Church,Place of Worship,Church,Places of Worship,True,True,-37.8143851324913,144.969174036096
East Melbourne Synagogue,Place of Worship,Synagogue,Places of Worship,True,True,-37.809113728917,144.97422190954
Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.7908082646624,144.912142987372
Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8143993575938,144.975952335785
